EventCode,EventType,OpCode,RecordNumber,"_time","anonymized_ComputerName",source,sourcetype,user
4776,0,Info,2488912515,"1471910779.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,142616497,"1471911014.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,142617962,"1471911260.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2488942935,"1471912415.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,121366246,"1471912621.000","anon_ComputerName_11","WinEventLog:Security","WinEventLog:Security",bob
4624,0,Info,269148361,"1471914027.000","anon_ComputerName_1","WinEventLog:Security","WinEventLog:Security",bob
4768,0,Info,1003952747,"1471914513.000","anon_ComputerName_18","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,142642529,"1471916713.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,142651750,"1471919869.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,69626888,"1471921877.000","anon_ComputerName_25","WinEventLog:Security","WinEventLog:Security",chuck
4768,0,Info,69630337,"1471923275.000","anon_ComputerName_25","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2489165742,"1471924960.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,142666797,"1471926179.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,142670284,"1471927757.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,121450705,"1471928051.000","anon_ComputerName_11","WinEventLog:Security","WinEventLog:Security",bob
4624,0,Info,108095942,"1471930753.000","anon_ComputerName_14","WinEventLog:Security","WinEventLog:Security",bob
4624,0,Info,1004045289,"1471930754.000","anon_ComputerName_18","WinEventLog:Security","WinEventLog:Security",bob
4624,0,Info,142683853,"1471933758.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2489371901,"1471936922.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4768,0,Info,69662485,"1471937459.000","anon_ComputerName_25","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,142701673,"1471941954.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,2489567750,"1471947994.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",bob
4768,0,Info,69684443,"1471948490.000","anon_ComputerName_25","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,1004148196,"1471949422.000","anon_ComputerName_18","WinEventLog:Security","WinEventLog:Security",bob
4624,0,Info,118723242,"1471949427.000","anon_ComputerName_12","WinEventLog:Security","WinEventLog:Security",bob
4624,0,Info,142723597,"1471952422.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,142723599,"1471952423.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,121592582,"1471954510.000","anon_ComputerName_11","WinEventLog:Security","WinEventLog:Security",bob
4776,0,Info,2489697618,"1471955523.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,142742514,"1471960884.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,1004227905,"1471963111.000","anon_ComputerName_18","WinEventLog:Security","WinEventLog:Security",bob
4624,0,Info,142750650,"1471964039.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
