vendor_action_id,vendor_action_description,action,object_category,object,change_type,object_attrs,status
20215,AM_APS_AUTO_REG_DISABLED,stopped,policy,,AAA,,
20259,AM_LINK_SOFT_TOKEN_PROFILE,modified,user,,AAA,,
20012,AM_SET_NEW_PIN_MODE,modified,user,,AAA,,
20016,AM_UNASSIGN_FIXED_PASSCODE,modified,user,,AAA,,
20035,AUTHMGR_CTKIP_AUTHCODE_CREATE,created,user,,AAA,,
20036,AUTHMGR_CTKIP_AUTHCODE_DELETE,deleted,user,,AAA,,
13002,AUTHN_PRINCIPAL_PWD_CHANGED_SUCCESS,modified,user,,AAA,LDAP_Password,
20095,CTKIP_GENERATE_KEY,modified,user,,AAA,,
26215,DATA_EXPORT_SUCCESS,read,file,data export,AAA,,
16041,DELETE_AGED_JOB,deleted,user,AGED_JOB,AAA,,
16057,READ_IDENTITY_SOURCE,read,user,identity source,AAA,,
16017,REGISTRY_TOPOLOGY_READ,read,user,system configuration,AAA,,
16018,REGISTRY_TOPOLOGY_WRITE,modified,user,system configuration,AAA,,
30049,UCM_ACTIVATE_TOKEN,modified,user,,AAA,,
30054,UCM_ASSIGN_TOKEN,modified,user,,AAA,,
26128,OC_CONFIGURE_LOGGING,modified,system,system configuration,AAA,logging,
26111,OC_RESTORE_BACKUP,modified,file,backup file,filesystem,,
16349,COPY_DATABASE_LOGS,modified,system,system configuration,AAA,,
26167,OC_DELETE_BACKUP_FILE,deleted,file,backup file,filesystem,,
26115,OC_CONFIGURE_UPDATES,modified,system,system configuration,AAA,,
20238,AM_GENERATE_REPLICA_PKG,created,policy,Replica Package,filesystem,,
10276,UPDATE_CERTIFICATE,modified,certificate,,filesystem,,
26143,OC_LIST_DICT_RADIUS_SERVER,read,server,OC list,filesystem,,
26144,OC_LIST_CONFIG_RADIUS_SERVER,read,server,OC list,filesystem,,
26178,OC_RESTART_RADIUS_SERVER,restarted,server,radius server,AAA,Radius Server,
26147,OC_RADIUS_LIST_TRUSTED_ROOT_CERTS,read,file,OC list,filesystem,Trusted Root Certificate,
26145,OC_EDIT_CONFIG_RADIUS_SERVER,modified,server,server configuration,filesystem,,
26140,OC_EDIT_DICT_RADIUS_SERVER,modified,server,dictionary file,filesystem,Server Dicitionary File,
20184,AM_RADIUS_REPLICATION_PUBLISH,started,policy,,AAA,,
20164,AM_RADIUS_CREATE_CLIENT,created,policy,,AAA,,
20166,AM_RADIUS_UPDATE_CLIENT,modified,policy,,AAA,,
20167,AM_RADIUS_DELETE_CLIENT,deleted,policy,,AAA,,
20168,AM_RADIUS_CREATE_PROFILE,created,policy,,AAA,,
20170,AM_RADIUS_UPDATE_PROFILE,modified,policy,,AAA,,
20171,AM_RADIUS_DELETE_PROFILE,deleted,policy,,AAA,,
20149,AM_RADIUS_ATTRVAL_MANAGE,modified,policy,,AAA,,
20002,UPDATE_AM_PRINCIPAL,modified,policy,,AAA,,
20004,READ_AM_PRINCIPAL_EMERGENCY_ACCESS_INFO,read,policy,,AAA,,
26158,MODIFY_RADIUS_REPLICATION_TIMER,modified,system,system configuration,AAA,,
20237,AM_PERIODIC_RADIUS_REPLICATION_DISABLED,stopped,policy,,AAA,,
20236,AM_PERIODIC_RADIUS_REPLICATION_ENABLED,started,policy,,AAA,,
26156,START_RADIUS_REPLICATION_TIMER,started,policy,replication timer,AAA,,
20197,AM_EAP32_PEPPER_MIN,modified,policy,,AAA,,
20198,AM_EAP32_PEPPER_MAX,modified,policy,,AAA,,
20199,AM_EAP32_PEPPER_LIFETIME,modified,policy,,AAA,,
20200,AM_EAP32_PEPPER_REFRESH,modified,policy,,AAA,,
20201,AM_EAP32_ITERATION_COUNT_MIN,modified,policy,,AAA,,
20202,AM_EAP32_ITERATION_COUNT_MAX,modified,policy,,AAA,,
20235,AM_EAP32_SESSION_RESUMPTION_DISABLED,stopped,policy,,AAA,,
20234,AM_EAP32_SESSION_RESUMPTION_ENABLED,started,policy,,AAA,,
20068,AUTHMGR_APS_UPDATE,modified,policy,,AAA,,
26136,OC_REBOOT_APPLIANCE,restarted,system,Appliance,AAA,,
30018,UCM_SET_REALM_PREFERENCES,modified,policy,realm,AAA,UCM realm preferences,
30025,UCM_USER_GROUP_UPDATE,modified,policy,User group,AAA,,
30023,UCM_SECURITY_DOMAIN_UPDATE,modified,policy,Security Domain,AAA,,
30022,UCM_IDENTITY_SOURCE_UPDATE,modified,policy,Identity source,AAA,,
30021,UPDATE_SHIPPING_ADDRESS_CONFIGURATION,modified,policy,shipping address,AAA,,
30028,UCM_SELFSERVICE_OPERATION_MAPPING_UPDATE,modified,policy,UCM,AAA,,
30043,UCM_MAIL_NOTIFICATION_TEMPLATE_ADD,modified,policy,UCM,AAA,,
30020,UCM_UPDATE_SMART_CARD_CONFIG,modified,policy,UCM,AAA,,
26272,AUTHMGR_TELEMETRY_DATA_SEND_SUCCESS,modified,system,system configuration,AAA,,
30048,UCM_REQUEST_AUTO_APPROVE,modified,policy,,AAA,,
10285,UPDATE_SECURITY_QUESTION_ANSWERS,modified,user,,AAA,,
30001,UCM_REQUEST_CREATE,created,user,UCM Request,AAA,,
30014,UCM_UPDATE_USER_ATTRIBUTES,modified,user,,AAA,,
30004,UCM_REQUEST_REJECT,modified,user,,AAA,,
30006,UCM_REQUEST_UPDATE,modified,user,,AAA,,
30002,UCM_REQUEST_APPROVE,modified,user,,AAA,,
30005,UCM_REQUEST_CANCEL,modified,user,,AAA,,
26197,GENERATE_EXPORT_SECURITY_PACKAGE,created,file,security package,AAA,,
16061,UPDATE_AUTHENTICATORS,modified,system,authenticators,AAA,,
26185,OC_CERT_SIGNING_REQEUST,modified,file,signing request,AAA,,
10295,CREATE_WEBTIER_KEYSTORE,created,file,,AAA,,
10277,ADD_WEBTIER_DEPLOYMENT,created,policy,,AAA,,
10278,UPDATE_WEBTIER_DEPLOYMENT,modified,policy,,AAA,,
10280,GENERATE_WEBTIER_PACKAGE,created,policy,,AAA,,
10279,DELETE_WEBTIER_DEPLOYMENT,deleted,policy,,AAA,,
10294,UPDATE_WEBTIER_CUSTOMIZATION,modified,policy,,AAA,,
20025,IMPORT_TOKEN,created,token,token,AAA,,
20045,AM_LINK_TOKEN_PRINCIPAL,modified,policy,,AAA,,
20046,AM_UNLINK_TOKEN_PRINCIPAL,modified,policy,,AAA,AM_TOKEN,
20027,UPDATE_AM_TOKEN,modified,policy,,AAA,,
20266,RESYNC_AM_TOKEN_FAIL,modified,policy,,AAA,,
20009,AM_TOKEN_ENABLED,started,policy,,AAA,,
20010,AM_TOKEN_DISABLED,stopped,policy,,AAA,,
20039,AUTHMGR_TOKEN_SET_TOKENCODE_ONLY_PINTYPE,modified,policy,,AAA,,
20040,AUTHMGR_TOKEN_SET_PASSCODE_PINTYPE,modified,policy,,AAA,,
20028,DELETE_AM_TOKEN,deleted,policy,,AAA,,
10209,DELETE_BATCH_JOB,deleted,batch job,,AAA,,
20089,EXPORT_SOFT_TOKEN,read,policy,,AAA,,
