vendor_action_id,vendor_action_description,event_type
10207,DELETE_PWD_DICTIONARY,all_changes_event
20213,AM_APS_CLIENT_RESPONSE_DELAY,all_changes_event
20290,AM_OFFLINE_AUTH_DISABLE_PORT_ENABLED,all_changes_event
20291,AM_OFFLINE_AUTH_DISABLE_PORT_DISABLED,all_changes_event
20209,AM_OFFLINE_AUTH_PORT_NUMBER,all_changes_event
20212,AM_APS_PORT_NUMBER,all_changes_event
20196,AM_APS_AUTO_REG_PORT_NUMBER,all_changes_event
20262,AUTHMGR_AGENT_CONFIG_UPDATE,all_changes_event
10205,IMPORT_PWD_DICTIONARY,all_changes_event
20259,AM_LINK_SOFT_TOKEN_PROFILE,all_changes_event
20012,AM_SET_NEW_PIN_MODE,all_changes_event
20016,AM_UNASSIGN_FIXED_PASSCODE,all_changes_event
20035,AUTHMGR_CTKIP_AUTHCODE_CREATE,all_changes_event
20036,AUTHMGR_CTKIP_AUTHCODE_DELETE,all_changes_event
20095,CTKIP_GENERATE_KEY,all_changes_event
30049,UCM_ACTIVATE_TOKEN,all_changes_event
30054,UCM_ASSIGN_TOKEN,all_changes_event
20277,SEND_NOTIFICATION,alerts_event
30016,UCM_SEND_END_USER_NOTIFICATION,alerts_event
20286,CAS_USER_SYNC,alerts_event
26266,CAS_HEALTHCHECK_STATUS_UNHEALTHY,alerts_event
26043,ADJUDICATOR_CONFIGURATION,alerts_event
13002,AUTHN_METHOD_FAILED_SYNTAX_ERROR,auth_event
20289,CAS_AM_REGISTRATION,auth_event
20269,CTKIP_SERVICE_INVALID_AUTHORIZATION_CODE,auth_event
23027,AM_FIXED_PCODE_VALID,principal_event
13002,AUTHN_METHOD_SUCCESS,auth_event
13002,NEW_STATIC_PCODE_AUTH_SUCCESS,auth_event
13002,AUTHN_PRINCIPAL_DISABLED,auth_event
13002,AUTHN_PRINCIPAL_PWD_CHANGED_SUCCESS,all_changes_event
30026,UCM_MAIL_NOTIFICATION_TEMPLATE_UPDATE,all_changes_event
26010,IMPORT_TOKEN,all_changes_event
16257,SYNC_PROPERTIES,all_changes_event
16256,CONF_VALUE_UPDATED,all_changes_event
16032,DELETE_BATCH_JOB,all_changes_event
51001,RBA_UPDATE_MANAGER_INFO,all_changes_event
16332,FILE_SERVICE_DELETE_FILE,all_changes_event
26101,CLEANUP_EXPIRED_AUTHENTICATORS_JOB,all_changes_event
16033,EXECUTE_BATCH_JOB,all_changes_event
16334,FILE_SERVICE_OPEN_FILE,all_changes_event
16331,FILE_SERVICE_CREATE_FILE,all_changes_event
16258,UPDATE_BATCH_JOB_STATUS_ERROR,all_changes_event
16149,SESSION_UPDATE_LIFETIME_CONFIGURATION,all_changes_event
16144,SESSION_UPDATE_CONFIGURATION,all_changes_event
16157,CONF_VALUE_ADDED,all_changes_event
16255,CONF_VALUE_DELETED,all_changes_event
26122,OC_CONFIGURE_SSH,all_changes_event
26170,OC_OS_PASSWORD_CHANGE,all_changes_event
26168,OC_EDIT_HOSTS_FILE,all_changes_event
26123,OC_CONFIG_SYSTEM_NETWORK_SETTING,all_changes_event
26113,OC_CREATE_BACKUP,all_changes_event
16022,REGISTRY_INSTANCE_LOOKUP,all_changes_event
16280,OC_REPLICATION_STATUS,all_changes_event
26169,OC_NETWORK_TOOLS,all_changes_event
26163,OC_SCHEDULE_BACKUP,all_changes_event
26164,OC_SCHEDULE_CREATE_BACKUP,all_changes_event
26128,OC_CONFIGURE_LOGGING,all_changes_event
26111,OC_RESTORE_BACKUP,all_changes_event
16349,COPY_DATABASE_LOGS,all_changes_event
26167,OC_DELETE_BACKUP_FILE,all_changes_event
26115,OC_CONFIGURE_UPDATES,all_changes_event
10276,UPDATE_CERTIFICATE,all_changes_event
26143,OC_LIST_DICT_RADIUS_SERVER,all_changes_event
